"PGP terminal "
"After Science Park Drive"
"NUH"
"LT 29"
"University Hall"
"Yusof Ishak House"
"Central Library"
"LT 13 "
"Com 2 "
"BIZ 2"
"Opp. House 12"
"House 7"
"Between House 14 and 15"
"House 12"
"Opp Hon Sui Sen Memorial Library"
"Temasek Hall "
"Opp. LT 13"
"Computer Centre"
"Staff Club"
"Opp. University Hall"
"School of Computing 1"
"Opp. NUH"
"The Japanese School"
"AS7"
"Eusoff Hall"
"Opp. Yusof Ishak House"
"Raffles Hall"
"Opp. Blk EA"
"Office of Estate and Development"
"Opp. Staff Club"
"E3A"
